name,address,wifi
カジュアル スパニッシュイタリアン エスパニョール,北海道札幌市中央区北３条西２丁目1-27　アストリア札幌ビル　5Ｆ ,未確認
美食ダイニング 四季舞 札幌駅前店,北海道札幌市中央区北２条西３丁目第２５桂和ビル４F,未確認
肉処 しろべこや,北海道札幌市中央区南３条西２丁目６番地ＫＴ３条ビルＢ１,あり
四季彩 Shikisai 札幌駅前店,北海道札幌市中央区北四条西4－1読売北海道ビル2階,未確認
エノテカ ドォーロ 札幌店,北海道札幌市中央区北２条西４丁目1番地赤れんがテラス3F,なし
山の猿 南1条店,北海道札幌市中央区南１条西４丁目　ＮＫＣ１・４ビル２Ｆ,未確認
炭火や BB すすきの店,北海道札幌市中央区南６条西４丁目２　野口ビル１F,あり
東急ビアガーデン2階テラス プレミアムリゾート,北海道札幌市中央区北４条西２丁目２F　南口テラス,なし
鳥心 とりしん 札幌駅前店,北海道札幌市中央区北4条西3丁目 成友ビル　１F,なし
味扉,北海道札幌市豊平区月寒東１条１０-6-25,あり
たま 札幌駅西口店,北海道札幌市中央区北５条西５丁目　JR５５SAPPOROビル７Ｆ,未確認
NORTH FARM Village ノースファームビレッジfrom汁なし 六鶴 すすきの店,北海道札幌市中央区南４条西３-6-2 キタコービル５F,あり
炭火居酒屋 炎 すすきの アーバンビル店,北海道札幌市中央区南３条西４丁目８－２　アーバン札幌ビル１Ｆ,なし
北海道海鮮居酒屋 彩屋 いろどりや 札幌店,北海道札幌市中央区北４条西５アスティ45 B1F,なし
日本の酒と馬の肉 ウマ○ 札幌すすきの店,北海道札幌市中央区南４条西２-11-7 TOMORUビル8F,あり
バル エスパーニャ カルネ BAR espana carne,北海道札幌市中央区南２条西６丁目岡田ビル(狸小路６丁目内),なし
ラ カサブランカ LA・CASABLANCA,北海道札幌市中央区北３条西２丁目1番地ＮＣ北専北3条ビル２Ｆ,あり
WARAYAKI酒場 あくと すすきの店,北海道札幌市中央区南４条西５丁目 アイビル２ ３階,あり
海へ アスティ45店,北海道札幌市中央区北４条西５丁目　アスティ４５　１Ｆ,あり
鶏よ魚よ 札幌駅北口店,北海道札幌市北区北７条西４丁目　札幌トーカンビルＢ１Ｆ,未確認
千年の宴 札幌駅南口ビックカメラ前店,北海道札幌市中央区北４条西２－１－２５　札幌ＴＲビル８Ｆ,あり
肉と酒とACT  あくと,北海道札幌市中央区南５条西５丁目モモヤビル３F,未確認
BB BROTHER,北海道札幌市中央区南５条西３グランド桂和ビル４Ｆ,あり
海鮮個室酒場 伊まり 大通駅前店,北海道札幌市中央区南１条西４丁目16-1 南舘ビル3F,未確認
ミートダルマ 札幌店,北海道札幌市中央区北４条西５アスティ45 B1F,なし
肉刺しと餃子の店 shigi 39,北海道札幌市北区北８条西３丁目１３番地８　札幌駅北口ビル畠山,未確認
甚平 じんべい 札幌すすきの店,北海道札幌市中央区南４条西３丁目３－１　第１グリーンビル２Ｆ,あり
北海道ろばた 居心地 いごこち,北海道札幌市中央区南２条西４丁目１０－２ 清水ビルＢ１Ｆ,なし
